"Site","bracket","year","n_members","n_draws","P_exceed_naive","P_exceed_corrected","frac_temp_extrap"
"BN","high",2094,11,22000,0,0.383227272727273,0
"BN","high",2095,11,22000,0,0.366409090909091,0
"BN","high",2096,11,22000,0,0.359681818181818,0
"BN","high",2097,11,22000,0,0.377318181818182,0
"BN","high",2098,11,22000,0,0.38,0
"BN","low",2026,10,20000,0,0.32205,0
"BN","low",2027,10,20000,0,0.29165,0
"BN","low",2028,10,20000,0,0.29295,0
"BN","low",2029,10,20000,0,0.297,0
"BN","low",2030,10,20000,0,0.301,0
"BN","low",2031,10,20000,0,0.29585,0
"BN","low",2032,10,20000,0,0.32105,0
"BN","low",2033,10,20000,0,0.31405,0
"BN","low",2034,10,20000,0,0.3455,0
"BN","low",2035,10,20000,0,0.3376,0
"BN","low",2036,10,20000,0,0.3303,0
"BN","low",2037,10,20000,0,0.32355,0
"BN","low",2038,10,20000,0,0.31885,0
"BN","low",2039,10,20000,0,0.35605,0
"BN","low",2040,10,20000,0,0.3534,0
"BN","low",2041,10,20000,0,0.3285,0
"BN","low",2042,10,20000,0,0.35855,0
"BN","low",2043,10,20000,0,0.34385,0
"BN","low",2044,10,20000,0,0.3456,0
"BN","low",2045,10,20000,0,0.35445,0
"BN","low",2046,10,20000,0,0.3572,0
"BN","low",2047,10,20000,0,0.35885,0
"BN","low",2048,10,20000,0,0.35655,0
"BN","low",2049,10,20000,0,0.34735,0
"BN","low",2050,10,20000,0,0.37895,0
"BN","low",2051,10,20000,0,0.38505,0
"BN","low",2052,10,20000,0,0.40445,0
"BN","low",2053,10,20000,0,0.4225,0
"BN","low",2054,10,20000,0,0.39045,0
"BN","low",2055,10,20000,0,0.3799,0
"BN","low",2056,10,20000,0,0.4046,0
"BN","low",2057,10,20000,0,0.41625,0
"BN","low",2058,10,20000,0,0.4276,0
"BN","low",2059,10,20000,0,0.4421,0
"BN","low",2060,10,20000,0,0.4278,0
"BN","low",2061,10,20000,0,0.4452,0
"BN","low",2062,10,20000,0,0.45765,0
"BN","low",2063,10,20000,0,0.4694,0
"BN","low",2064,10,20000,0,0.4758,0
"BN","low",2065,10,20000,0,0.4928,0
"BN","low",2066,10,20000,0,0.47855,0
"BN","low",2067,10,20000,0,0.4736,0
"BN","low",2068,10,20000,0.1,0.4657,0
"BN","low",2069,10,20000,0.1,0.45915,0
"BN","low",2070,10,20000,0.1,0.4561,0
"BN","low",2071,10,20000,0,0.4352,0
"BN","low",2072,10,20000,0,0.43295,0
"BN","low",2073,10,20000,0,0.44495,0
"BN","low",2074,10,20000,0,0.4299,0
"BN","low",2075,10,20000,0,0.42815,0
"BN","low",2076,10,20000,0,0.4187,0
"BN","low",2077,10,20000,0,0.40905,0
"BN","low",2078,10,20000,0,0.4104,0
"BN","low",2079,10,20000,0,0.4018,0
"BN","low",2080,10,20000,0,0.4134,0
"BN","low",2081,10,20000,0,0.4206,0
"BN","low",2082,10,20000,0,0.432,0
"BN","low",2083,10,20000,0,0.4263,0
"BN","low",2084,10,20000,0,0.4204,0
"BN","low",2085,10,20000,0,0.41535,0
"BN","low",2086,10,20000,0,0.39935,0
"BN","low",2087,10,20000,0,0.41345,0
"BN","low",2088,10,20000,0,0.4194,0
"BN","low",2089,10,20000,0,0.43305,0
"BN","low",2090,10,20000,0,0.4368,0
"BN","low",2091,10,20000,0,0.4438,0
"BN","low",2092,10,20000,0,0.4564,0
"BN","low",2093,10,20000,0,0.44835,0
"BN","low",2094,10,20000,0,0.4406,0
"BN","low",2095,10,20000,0,0.4345,0
"BN","low",2096,10,20000,0,0.4536,0
"BN","low",2097,10,20000,0,0.46875,0
"BN","low",2098,10,20000,0,0.4799,0
"DL","high",2026,11,22000,1,0.892045454545455,0
"DL","high",2027,11,22000,1,0.873318181818182,0
"DL","high",2028,11,22000,1,0.867772727272727,0
"DL","high",2029,11,22000,1,0.866863636363636,0
"DL","high",2030,11,22000,1,0.871727272727273,0
"DL","high",2031,11,22000,1,0.874863636363636,0
"DL","high",2032,11,22000,1,0.873136363636364,0
"DL","high",2033,11,22000,1,0.870318181818182,0
"DL","high",2034,11,22000,1,0.870272727272727,0
"DL","high",2035,11,22000,1,0.862636363636364,0
"DL","high",2036,11,22000,1,0.863681818181818,0
"DL","high",2037,11,22000,1,0.846545454545455,0
"DL","high",2038,11,22000,1,0.850363636363636,0
"DL","high",2039,11,22000,1,0.8495,0
"DL","high",2040,11,22000,1,0.851181818181818,0
"DL","high",2041,11,22000,1,0.849090909090909,0
"DL","high",2042,11,22000,1,0.846545454545455,0
"DL","high",2043,11,22000,1,0.844090909090909,0
"DL","high",2044,11,22000,1,0.837636363636364,0
"DL","high",2045,11,22000,1,0.839909090909091,0
"DL","high",2046,11,22000,1,0.833681818181818,0
"DL","high",2047,11,22000,1,0.829181818181818,0
"DL","high",2048,11,22000,1,0.819363636363636,0
"DL","high",2049,11,22000,1,0.817590909090909,0
"DL","high",2050,11,22000,0.909090909090909,0.808,0
"DL","high",2051,11,22000,0.818181818181818,0.795909090909091,0
"DL","high",2052,11,22000,0.818181818181818,0.801272727272727,0
"DL","high",2053,11,22000,0.818181818181818,0.779409090909091,0
"DL","high",2054,11,22000,0.727272727272727,0.7685,0
"DL","high",2055,11,22000,0.636363636363636,0.766227272727273,0
"DL","high",2056,11,22000,0.545454545454545,0.766409090909091,0
"DL","high",2057,11,22000,0.727272727272727,0.756090909090909,0
"DL","high",2058,11,22000,0.727272727272727,0.761454545454545,0
"DL","high",2059,11,22000,0.545454545454545,0.759363636363636,0
"DL","high",2060,11,22000,0.545454545454545,0.758136363636364,0
