Site,Year,Month,date_yearmon,Date_sample,AFDM,CHLa,NH4_mg_L,NO3_mg_L,SPC,SRP_mg_L,TDS,TN_mg_L,TP_mg_L,Temp_oC,pH,TURBIDITY,DIN_mg_L
BM,2006,7,Jul 2006,NA,NA,NA,0.02,0.035500000000000004,253,0.006999999999999999,NA,0.2,0.0245,19.5,8.07,6.0649999999999995,0.05550000000000001
BM,2006,8,Aug 2006,NA,NA,NA,0.02,0.05366666666666667,278.6666666666667,0.01,NA,0.26666666666666666,0.022333333333333334,15.466666666666667,8.153333333333334,3.0933333333333333,0.07366666666666667
BM,2006,9,Sep 2006,NA,NA,NA,0.013333333333333334,0.06333333333333334,319,0.006333333333333333,NA,0.23333333333333334,0.019333333333333334,13.05,8.350000000000001,7.115,0.07666666666666667
BM,2007,6,Jun 2007,NA,NA,NA,0.025,0.03933333333333333,NA,0.012666666666666666,NA,0.4,0.07133333333333333,NA,NA,NA,0.06433333333333333
BM,2007,7,Jul 2007,NA,NA,NA,NA,0.026,NA,0.0045000000000000005,NA,0.2,0.0165,NA,NA,NA,NA
BM,2007,8,Aug 2007,NA,NA,NA,0.03,0.063,NA,0.004,NA,0.23333333333333334,0.016666666666666666,NA,NA,NA,0.093
BM,2007,9,Sep 2007,NA,NA,NA,0.013333333333333334,0.067,NA,0.005666666666666667,NA,0.23333333333333334,0.023,NA,NA,NA,0.08033333333333334
BM,2008,6,Jun 2008,NA,NA,NA,0.025,0.0375,174.64999999999998,NA,92.35,0.3,0.057,12,8.434999999999999,19.35,0.0625
BM,2008,7,Jul 2008,NA,NA,NA,0.026666666666666665,0.022333333333333334,233,NA,123.83333333333333,0.2,0.024,16.8,8.52,5.2,0.049
BM,2008,8,Aug 2008,2008-08-01,15.315,62.85,0.04,0.042333333333333334,265.6666666666667,NA,145.46666666666667,0.2,0.013333333333333332,15.866666666666665,8.443333333333333,2.5933333333333333,0.08233333333333334
BM,2008,9,Sep 2008,2008-09-01,13.565,73.2,0.016666666666666666,0.046,304.5,NA,161.75,0.2,0.019,11.25,8.655000000000001,3.385,0.06266666666666666
BM,2009,6,Jun 2009,NA,NA,NA,0.0038900000000000002,0.01797,201,0.01273,107,NA,0.03181,16,8.2,7.51,0.02186
BM,2009,7,Jul 2009,NA,NA,NA,0.005866666666666667,0.020816666666666664,242.33333333333334,0.00956,128.66666666666669,0.19266666666666668,0.019046666666666667,16.166666666666664,8.223333333333333,4.246666666666666,0.02668333333333333
BM,2009,8,Aug 2009,2009-08-03,10.75,38,0.00828,0.04478,277.3333333333333,0.00531,146.96666666666667,0.22833333333333333,0.01983333333333333,17.2,8.386666666666667,3.52,0.053059999999999996
BM,2009,9,Sep 2009,2009-09-07,40.7,360.76190476190476,0.014858,0.041462,307,0.012128,162.76666666666668,0.24775,0.027225,15.6,8.306666666666667,2.1333333333333333,0.056319999999999995
BM,2010,6,Jun 2010,NA,NA,NA,0.0159,0.0416,193,0.017,102.5,0.288,0.055200000000000006,16.5,7.59,17.4,0.057499999999999996
BM,2010,7,Jul 2010,NA,NA,NA,0.008566666666666667,0.0231,235.33333333333334,0.008933333333333333,125.2,0.187,0.019566666666666666,17.833333333333332,7.793333333333333,3.4433333333333334,0.03166666666666666
BM,2010,8,Aug 2010,2010-08-01,20.526315789473685,66.4047619047619,0.009933333333333334,0.04646666666666667,277,0.006233333333333334,147.26666666666665,0.233,0.01966666666666667,18.433333333333334,7.993333333333333,2.81,0.056400000000000006
BM,2010,9,Sep 2010,2010-09-10,31.95,138.82857142857142,0.031925,0.05925,303.6666666666667,0.00685,161.33333333333334,0.26475,0.01965,13.066666666666666,8.236666666666666,3.9866666666666664,0.091175
BM,2011,6,Jun 2011,NA,NA,NA,0.0158,0.0262,136.6,0.01625,88.75,NA,0.10225000000000001,12.6,8.04,44.2,0.042
BM,2011,7,Jul 2011,NA,NA,NA,0.011666666666666667,0.022466666666666666,203.3,0.012266666666666667,132.2,0.18566666666666667,0.03356666666666667,14.5,8.3,7.766666666666667,0.034133333333333335
BM,2011,8,Aug 2011,2011-08-03,13.095238095238095,44.285714285714285,0.024566666666666667,0.030766666666666668,239.26666666666665,0.010466666666666666,155.53333333333333,0.17166666666666666,0.020933333333333335,16.1,8.3966666666666665,2.1,0.05533333333333333
BM,2011,9,Sep 2011,2011-09-05,8.428571428571429,39.333333333333336,0.0072,0.0496,276.55,0.0066,179.7,0.20166666666666666,0.013033333333333333,12.350000000000001,8.395,2.08,0.056799999999999996
BM,2012,6,Jun 2012,NA,NA,NA,0.006495000000000001,0.017485,163,0.008660000000000001,106,0.18628,0.021235000000000004,12.7,8.225,4.82,0.02398
BM,2012,7,Jul 2012,NA,NA,NA,0.02108,0.02094333333333333,231.13333333333335,0.00678,150.13333333333333,0.24623666666666666,0.01764,17.96666666666667,8.263333333333334,1.84,0.04202333333333333
BM,2012,8,Aug 2012,2012-08-02,12.047619047619047,32.76190476190476,0.01026,0.035916666666666666,246.5,0.005,160.1,0.21563000000000002,0.01575,16.133333333333333,8.25,2.5766666666666667,0.046176666666666664
BM,2012,9,Sep 2012,2012-09-03,27.80952380952381,161.38095238095238,0.006965,0.04155666666666667,255.05,0.002033333333333333,165.75,0.19846,0.012236666666666667,12.45,8.29,1.825,0.04852166666666667
BM,2013,7,Jul 2013,NA,NA,NA,0.01379,0.022955000000000003,246.9,0.00334,160.55,0.21607,0.012819999999999998,18.95,8.344999999999999,2.07,0.036745
BM,2013,8,Aug 2013,2013-08-01,8.047619047619047,22.80952380952381,0.013555000000000001,0.031145,271,0.003685,176.1,0.271875,0.013125000000000001,17.4,8.36,2.91,0.044700000000000004
BM,2013,9,Sep 2013,2013-09-02,14.476190476190476,81.42857142857143,0.013633333333333332,0.04233,293.2,0.007416666666666666,190.45,0.22689666666666666,0.01763,15.25,8.415,2.5149999999999997,0.05596333333333333
BM,2014,7,Jul 2014,2014-07-31,14.636842105263158,44.1578947368421,NA,0.0093,228.75,0.00825,148.85,0.14500000000000002,0.02025,16.950000000000003,8.129999999999999,3.79,NA
BM,2014,8,Aug 2014,NA,NA,NA,0.01065,0.021650000000000003,281.85,0.0052499999999999995,182.95,0.159,0.01435,17.45,8.17,1.995,0.0323
BM,2014,9,Sep 2014,2014-09-01,19.538095238095238,123.66666666666667,0.01295,0.02715,336,0.0085,218.39999999999998,0.221,0.01925,13.3,8.085,2.675,0.0401
BM,2015,7,Jul 2015,2015-07-04,64.375,228.125,0.0075,0.01145,222.05,0.0023,144.3,0.20650000000000002,0.0132,18.9,8.395,1.4649999999999999,0.01895
BM,2015,8,Aug 2015,2015-08-03,24.761904761904763,100.23809523809524,0.0121,0.02155,281.5,0.0021,182.95,0.2275,0.01925,16.3,8.344999999999999,2.9,0.03365
BM,2015,9,Sep 2015,2015-09-07,16.333333333333332,76.33333333333333,0.011,0.02065,300.85,0.0028,195.60000000000002,0.251,0.02065,13.5,8.435,4.76,0.03165
BM,2016,7,Jul 2016,2016-07-03,92.34157894736842,373.08947368421053,0.007899999999999999,0.0113,244.85,0.0016666666666666666,159.25,0.1635,0.01385,16.75,8.34,1.63,0.0192
