"Site","bracket","year","median_logCHLa","p10_logCHLa","p90_logCHLa","n_members","frac_temp_extrap"
"FH","high",2083,1.69827116300775,1.64289244111102,1.77751608813637,11,1
"FH","high",2084,1.70267930476184,1.63664364678579,1.78202555822393,11,1
"FH","high",2085,1.70477252129238,1.63551507929341,1.7911643651416,11,1
"FH","high",2086,1.70068305223057,1.6374598848896,1.77581793811414,11,1
"FH","high",2087,1.7063941860494,1.63641710831469,1.7589373961478,11,1
"FH","high",2088,1.71145094512195,1.64957219647018,1.75304505014099,11,1
"FH","high",2089,1.70654082748695,1.65429398794388,1.75493865328481,11,1
"FH","high",2090,1.70458220984719,1.64694872357651,1.75389516075501,11,1
"FH","high",2091,1.70619520242587,1.6527004347578,1.76031059705386,11,1
"FH","high",2092,1.707419080365,1.6553297885203,1.76009015718108,11,1
"FH","high",2093,1.71532913844017,1.65600180221451,1.75756946218201,11,1
"FH","high",2094,1.70280206583551,1.65821540629872,1.74453105176601,11,1
"FH","high",2095,1.69806582799831,1.65327026453692,1.74045401015859,11,1
"FH","high",2096,1.70853124988651,1.64744104106212,1.75363569874242,11,1
"FH","high",2097,1.70188869701729,1.65175718844266,1.76017810388285,11,1
"FH","high",2098,1.68878861167114,1.64899837317697,1.73453827981978,11,1
"FH","low",2026,1.32965151217626,1.28149965640523,1.33423725972907,10,0
"FH","low",2027,1.31855151647787,1.28095980395704,1.33441449214698,10,0
"FH","low",2028,1.31932819772898,1.27446063186354,1.33146511597997,10,0
"FH","low",2029,1.3229893954583,1.28508193339359,1.33407999819612,10,0
"FH","low",2030,1.32484119234631,1.28633859628681,1.34424029035784,10,0
"FH","low",2031,1.33664969402105,1.28927185164466,1.34400399776067,10,0
"FH","low",2032,1.33593055564156,1.29025353321447,1.35303699693762,10,0
"FH","low",2033,1.33281087507967,1.29675534879722,1.3444139877921,10,0
"FH","low",2034,1.33855096556864,1.3101031056096,1.35045487408746,10,0
"FH","low",2035,1.33953758569298,1.31567076147646,1.36101806664703,10,0
"FH","low",2036,1.34614078373058,1.32566925536883,1.36596039095405,10,0
"FH","low",2037,1.35017580794559,1.333472592025,1.36650399769379,10,0
"FH","low",2038,1.3555443899933,1.33256383535284,1.37868097886687,10,0
"FH","low",2039,1.36276190490561,1.33531902106283,1.38258924832164,10,0
"FH","low",2040,1.37133496301142,1.33282921211722,1.37996534134189,10,0
"FH","low",2041,1.3609282309785,1.32682207761846,1.38397845342906,10,0
"FH","low",2042,1.35774129797413,1.32770051124353,1.38604884522481,10,0
"FH","low",2043,1.35963195478795,1.32903302133147,1.38402566732388,10,0
"FH","low",2044,1.3652145680979,1.33624335714246,1.38683194906048,10,0
"FH","low",2045,1.36756148708182,1.33785758115014,1.38369100204273,10,0
"FH","low",2046,1.36455819568759,1.34296934164571,1.38976557919095,10,0
"FH","low",2047,1.36915915091879,1.3478061958085,1.38683620883178,10,0
"FH","low",2048,1.36241345983371,1.34877012892575,1.39243057066419,10,0
"FH","low",2049,1.3674599795551,1.35365180126611,1.40346449861007,10,0
"FH","low",2050,1.36985104367972,1.355640592657,1.40789392823267,10,0
"FH","low",2051,1.36955093450064,1.35853518604638,1.40388966277621,10,0
"FH","low",2052,1.37514885532057,1.35776586122556,1.39440188401103,10,0
"FH","low",2053,1.38986624430831,1.37312620119631,1.40075865912072,10,0
"FH","low",2054,1.39246195500646,1.38051393709166,1.40577847748649,10,0
"FH","low",2055,1.3959517024961,1.38309857378613,1.40979997875961,10,0
"FH","low",2056,1.40201134613253,1.38728762101535,1.41629047549188,10,0
"FH","low",2057,1.40534753646874,1.38636053739981,1.42346210171142,10,0
"FH","low",2058,1.41023488066358,1.38822407631557,1.42566224450087,10,0
"FH","low",2059,1.41284049962374,1.39525491031141,1.43424673083687,10,0
"FH","low",2060,1.41828530946148,1.39766222603543,1.43745523353575,10,0
"FH","low",2061,1.41931817156716,1.4078901438133,1.44832127925211,10,0
"FH","low",2062,1.43238034246901,1.40970488830151,1.46598867760483,10,0
"FH","low",2063,1.43353668779947,1.41311364930962,1.47428168528523,10,0
"FH","low",2064,1.43958323852413,1.41865413871808,1.4864692029275,10,0
"FH","low",2065,1.43779833764007,1.42589791525328,1.49451384095987,10,0
"FH","low",2066,1.44283080517479,1.43144564220913,1.49780496622231,10,0
"FH","low",2067,1.45318318233077,1.43862205164042,1.50373418932757,10,0
"FH","low",2068,1.46153043291148,1.44381782333683,1.50306262442711,10,0
"FH","low",2069,1.46887916464528,1.43922020521628,1.51027492178073,10,0
"FH","low",2070,1.46741392018219,1.4478368047705,1.51231043062968,10,0
"FH","low",2071,1.46802842336855,1.44428384271036,1.51633584055522,10,0
"FH","low",2072,1.47794373279688,1.45057659554627,1.52120162417878,10,0
"FH","low",2073,1.48317411137674,1.45875785090426,1.52389311660001,10,0
"FH","low",2074,1.48707076141133,1.45744245927918,1.52288859555274,10,0
"FH","low",2075,1.48636891490378,1.45741415027576,1.52824223958147,10,0
"FH","low",2076,1.48999962239806,1.46712147242291,1.53921774366998,10,0
"FH","low",2077,1.4994639470123,1.47171756143732,1.53698882526362,10,0
"FH","low",2078,1.50486015935703,1.47525732279004,1.53580253378018,10,0
"FH","low",2079,1.50598215815155,1.48032211412198,1.53081063989439,10,0
"FH","low",2080,1.50922646326094,1.47989381797712,1.53354513144328,10,0
"FH","low",2081,1.50816395160177,1.4835425795208,1.52818449353947,10,0
"FH","low",2082,1.50630749782258,1.48571015072503,1.5282533306815,10,0
"FH","low",2083,1.50176532388206,1.48368053079331,1.50967779085646,10,0
"FH","low",2084,1.50133574240429,1.48603381857426,1.51251295106645,10,0
"FH","low",2085,1.49814236553515,1.48610947603543,1.50827919062199,10,0
"FH","low",2086,1.4948860068328,1.48297960890873,1.51243569024368,10,0
"FH","low",2087,1.49780278568918,1.48530883276433,1.51596064140905,10,0
"FH","low",2088,1.49243292179538,1.48066358115882,1.52015766218546,10,0
"FH","low",2089,1.49530586086424,1.47444884925866,1.51905591997172,10,0
"FH","low",2090,1.49444161168092,1.47089158834084,1.51951017282789,10,0
"FH","low",2091,1.50118553997055,1.46917451977678,1.52132078549192,10,0
"FH","low",2092,1.50317608847825,1.47698822166176,1.52216195751105,10,0
